7 : 0 : 0 : 1.64,-110,-131,-203,20
7 : 0 : 0 : 1.128,-110,-131,-203,20
7 : 0 : 0 : 1.192,-110,-131,-203,20
7 : 0 : 0 : 1.256,-110,-131,-203,20
7 : 0 : 0 : 1.320,-110,-131,-203,20
7 : 0 : 0 : 1.384,-110,-131,-203,20
7 : 0 : 0 : 1.448,-110,-131,-203,20
7 : 0 : 0 : 1.512,-110,-131,-203,20
7 : 0 : 0 : 1.576,-110,-131,-203,20
7 : 0 : 0 : 1.640,-110,-131,-204,20
7 : 0 : 0 : 1.704,-110,-131,-203,20
7 : 0 : 0 : 1.768,-110,-131,-203,20
7 : 0 : 0 : 1.832,-110,-131,-203,20
7 : 0 : 0 : 1.896,-110,-131,-203,20
7 : 0 : 0 : 1.960,-110,-131,-203,20
7 : 0 : 0 : 1.1024,-110,-131,-203,20
7 : 0 : 0 : 2.0,-110,-131,-203,20
7 : 0 : 0 : 2.64,-110,-131,-203,20
7 : 0 : 0 : 2.128,-110,-131,-203,20
7 : 0 : 0 : 2.192,-110,-131,-203,20
7 : 0 : 0 : 2.256,-110,-131,-203,20
7 : 0 : 0 : 2.320,-110,-131,-203,20
7 : 0 : 0 : 2.384,-110,-131,-203,20
7 : 0 : 0 : 2.448,-110,-131,-203,20
7 : 0 : 0 : 2.512,-110,-131,-203,20
7 : 0 : 0 : 2.576,-110,-131,-203,20
7 : 0 : 0 : 2.640,-110,-131,-203,20
7 : 0 : 0 : 2.704,-110,-131,-203,20
7 : 0 : 0 : 2.768,-110,-131,-203,20
7 : 0 : 0 : 2.832,-110,-131,-203,20
7 : 0 : 0 : 2.896,-110,-131,-203,20
7 : 0 : 0 : 2.960,-110,-131,-203,20
7 : 0 : 0 : 3.0,-110,-131,-203,20
7 : 0 : 0 : 3.64,-110,-131,-203,20
7 : 0 : 0 : 3.128,-110,-131,-203,20
7 : 0 : 0 : 3.192,-110,-131,-203,20
7 : 0 : 0 : 3.256,-110,-131,-203,20
7 : 0 : 0 : 3.320,-110,-131,-203,20
7 : 0 : 0 : 3.384,-110,-131,-203,20
7 : 0 : 0 : 3.448,-110,-131,-203,20
7 : 0 : 0 : 3.512,-110,-131,-203,20
7 : 0 : 0 : 3.576,-110,-131,-203,20
7 : 0 : 0 : 3.640,-110,-131,-203,20
7 : 0 : 0 : 3.704,-110,-131,-203,20
7 : 0 : 0 : 3.768,-110,-131,-203,20
7 : 0 : 0 : 3.832,-110,-131,-203,20
7 : 0 : 0 : 3.896,-110,-131,-203,20
7 : 0 : 0 : 3.960,-110,-131,-203,20
7 : 0 : 0 : 4.0,-110,-131,-203,20
7 : 0 : 0 : 4.64,-110,-131,-203,20
7 : 0 : 0 : 4.128,-110,-131,-203,20
7 : 0 : 0 : 4.192,-110,-131,-203,20
7 : 0 : 0 : 4.256,-110,-131,-203,20
